Image,Mask,Mask_ID,Question,Answer
M3D_RefSeg_npy/images/refseg_train.npy,M3D_RefSeg_npy/masks/refseg_train_1.npy,1,Segment the synthetic foreground.,The foreground region is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_000_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_000_train_11.npy,11,Delineate the first diagonal branch (D1) of the LAD.,The first diagonal branch (D1) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_001_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_001_train_14.npy,14,Segment the first obtuse marginal branch (OM1) of the LCX.,The first obtuse marginal branch (OM1) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_002_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_002_train_4.npy,4,Delineate the right ventricle (RV) in this cardiac CT.,The right ventricle (RV) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_003_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_003_train_13.npy,13,Identify and segment the left circumflex artery (LCX).,The left circumflex artery (LCX) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_004_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_004_train_12.npy,12,Please segment the second diagonal branch (D2).,The second diagonal branch (D2) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_005_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_005_train_19.npy,19,Delineate the left posterolateral branch (LPLB) in this cardiac CT.,The left posterolateral branch (LPLB) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_006_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_006_train_18.npy,18,Please segment the ramus intermedius (RAMUS).,The ramus intermedius (RAMUS) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_007_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_007_train_1.npy,1,Please delineate the left atrium (LA) in this cardiac CT.,The left atrium (LA) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_008_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_008_train_2.npy,2,Identify and segment the left ventricle (LV).,The left ventricle (LV) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_009_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_009_train_10.npy,10,"Segment the left anterior descending artery (LAD), the widow-maker.",The left anterior descending artery (LAD) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_010_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_010_train_3.npy,3,Please segment the right atrium (RA) in this scan.,The right atrium (RA) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_011_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_011_train_8.npy,8,Identify and segment the right coronary artery (RCA).,The right coronary artery (RCA) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_012_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_012_train_9.npy,9,Please segment the right posterior descending artery (RPDA).,The right posterior descending artery (RPDA) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_013_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_013_train_16.npy,16,Segment the left posterior descending artery (LPDA).,The left posterior descending artery (LPDA) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_014_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_014_train_15.npy,15,Please delineate the second obtuse marginal branch (OM2).,The second obtuse marginal branch (OM2) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_015_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_015_train_7.npy,7,Segment the descending aorta (DO) in this CT.,The descending aorta (DO) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_016_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_016_train_0.npy,0,Segment the myocardium of the left ventricle (Myo).,The myocardium of LV (Myo) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_017_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_017_train_6.npy,6,Please identify the pulmonary artery (PA) and generate its mask.,The pulmonary artery (PA) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_018_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_018_train_17.npy,17,Identify the right posterolateral branch (RPLB) and segment it.,The right posterolateral branch (RPLB) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_019_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_019_train_5.npy,5,Segment the ascending aorta (AO).,The ascending aorta (AO) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_020_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_020_train_11.npy,11,Delineate the first diagonal branch (D1) of the LAD.,The first diagonal branch (D1) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_021_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_021_train_14.npy,14,Segment the first obtuse marginal branch (OM1) of the LCX.,The first obtuse marginal branch (OM1) is segmented. [SEG]
M3D_RefSeg_npy/images/cardiac_refseg_022_train.npy,M3D_RefSeg_npy/masks/cardiac_refseg_022_train_4.npy,4,Delineate the right ventricle (RV) in this cardiac CT.,The right ventricle (RV) is segmented. [SEG]
